File No,Player Name,Innings,Batting Position,Runs,Dots,1s,2s,3s,4s,6s,Balls Played,Wicket Method,Balls Bowled,Runs Given,Extras Given,Wickets Taken
710305.csv,Anamul Haque,1,1,100,74,46,3,0,6,4,133,caught,0,0,0,0
710305.csv,Imrul Kayes,1,2,59,44,27,0,0,5,2,78,caught,0,0,0,0
710305.csv,Mominul Haque,1,3,51,17,21,3,0,6,0,47,caught,54,37,0,2
710305.csv,Mushfiqur Rahim,1,4,51,9,17,1,0,8,0,35,,0,0,0,0
710305.csv,Shakib Al Hasan,1,5,44,2,6,1,0,6,2,17,,62,51,3,1
710305.csv,Abdur Razzak,1,,0,0,0,0,0,0,0,0,,55,70,2,1
710305.csv,Al-Amin Hossain,1,,0,0,0,0,0,0,0,0,,43,48,4,2
710305.csv,Mahmudullah,1,,0,0,0,0,0,0,0,0,,42,47,1,1
710305.csv,Nasir Hossain,1,,0,0,0,0,0,0,0,0,,18,17,0,0
710305.csv,Shafiul Islam,1,,0,0,0,0,0,0,0,0,,33,46,3,0
710305.csv,Ahmed Shehzad,2,1,103,66,43,3,0,12,1,125,bowled,0,0,0,0
710305.csv,Mohammad Hafeez,2,2,52,33,12,4,0,8,0,57,caught,60,27,2,0
710305.csv,Misbah-ul-Haq,2,3,4,3,0,0,0,1,0,4,bowled,0,0,0,0
710305.csv,Sohaib Maqsood,2,4,2,3,2,0,0,0,0,5,caught,6,7,0,0
710305.csv,Fawad Alam,2,5,74,25,36,5,0,4,2,72,run out,12,12,0,0
710305.csv,Abdur Rehman,2,6,8,2,4,2,0,0,0,8,caught,3,5,3,0
710305.csv,Shahid Afridi,2,7,59,11,5,2,0,2,7,27,run out,62,62,2,0
710305.csv,Umar Akmal,2,8,14,2,4,1,0,2,0,9,,0,0,0,0
710305.csv,Mohammad Talha,2,,0,0,0,0,0,0,0,0,,43,63,5,1
710305.csv,Saeed Ajmal,2,,0,0,0,0,0,0,0,0,,61,60,2,2
710305.csv,Umar Gul,2,,0,0,0,0,0,0,0,0,,63,69,7,0
667889.csv,AN Cook,1,1,11,18,3,2,0,1,0,24,caught,0,0,0,0
667889.csv,IR Bell,1,2,50,30,17,4,1,4,1,57,caught,0,0,0,0
667889.csv,GS Ballance,1,3,64,33,28,5,0,5,1,72,caught,0,0,0,0
667889.csv,EJG Morgan,1,4,3,1,1,1,0,0,0,3,bowled,0,0,0,0
667889.csv,JE Root,1,5,45,16,18,5,1,2,1,43,lbw,6,7,0,0
667889.csv,RS Bopara,1,6,3,3,3,0,0,0,0,6,lbw,31,23,8,1
667889.csv,JC Buttler,1,7,26,6,10,3,0,1,1,21,,0,0,0,0
667889.csv,CJ Jordan,1,8,38,2,2,2,0,5,2,13,,38,23,2,3
667889.csv,HF Gurney,1,,0,0,0,0,0,0,0,0,,34,16,4,2
667889.csv,JC Tredwell,1,,0,0,0,0,0,0,0,0,,36,38,1,3
667889.csv,JM Anderson,1,,0,0,0,0,0,0,0,0,,30,22,0,1
667889.csv,HDRL Thirimanne,2,1,0,5,0,0,0,0,0,5,lbw,0,0,0,0
667889.csv,KC Sangakkara,2,2,8,12,0,0,0,2,0,14,bowled,0,0,0,0
667889.csv,TM Dilshan,2,3,33,23,13,0,0,5,0,41,caught,0,0,0,0
667889.csv,DPMD Jayawardene,2,4,35,23,13,3,0,4,0,43,caught,0,0,0,0
667889.csv,AD Mathews,2,5,18,12,8,1,0,2,0,23,caught,37,24,2,1
